generation,N_shifts,logPrior,logLik,eventRate,acceptRate
3260000,48,232.403,-6954.86,48.8288,0.2753
3270000,50,256.302,-6970.93,42.8503,0.2723
3280000,62,301.693,-6963.35,59.6511,0.2647
3290000,56,280.532,-6960.21,53.1452,0.2925
3300000,54,263.422,-6975.51,50.8236,0.2977
3310000,53,264.25,-6966.03,50.2324,0.2814
3320000,65,335.367,-6958.28,58.7412,0.2893
3330000,62,315.365,-6966.42,63.3361,0.3059
3340000,58,289.392,-6956.16,54.0494,0.2958
3350000,57,286.134,-6947.13,54.27,0.3041
3360000,66,336.585,-6951.73,57.5531,0.3079
3370000,61,296.902,-6940.71,58.3252,0.296
3380000,57,272.274,-6954.16,45.8609,0.3061
3390000,54,261.603,-6962.89,49.3121,0.2892
3400000,56,271.273,-6955.72,48.0642,0.2705
3410000,56,270.782,-6953.94,45.7697,0.284
3420000,51,233.959,-6964.61,44.4735,0.3026
3430000,56,265.599,-6951.02,62.1126,0.27
3440000,55,256.857,-6969.22,46.7756,0.2791
3450000,47,221.304,-6957.04,42.8712,0.2757
3460000,50,235.246,-6942.35,44.8113,0.2556
3470000,51,247.405,-6968.08,53.8949,0.2794
3480000,57,288.211,-6958.36,54.5162,0.2895
3490000,55,276.731,-6974.43,57.457,0.2937
3500000,52,253.777,-6977.39,49.5421,0.275
3510000,54,273.677,-6973.93,62.4218,0.2874
3520000,48,236.719,-6967.68,40.8352,0.2693
3530000,57,270.852,-6954.46,45.7374,0.2785
3540000,50,247.268,-6963.07,46.9451,0.2942
3550000,58,290.044,-6974.94,45.7195,0.2901
3560000,49,249.553,-6969.59,45.4857,0.2902
3570000,50,240.205,-6956.71,50.9344,0.2737
3580000,54,266.64,-6970.46,47.4783,0.2767
3590000,54,267.534,-6968.56,45.2699,0.2897
3600000,57,293.492,-6972.45,56.3671,0.2867
3610000,58,300.323,-6959.95,62.3554,0.2934
3620000,58,282.949,-6961.69,54.577,0.2922
3630000,66,329.543,-6953.51,64.7,0.2979
3640000,71,348.821,-6953.66,64.3558,0.3019
3650000,68,346.912,-6970.68,62.6504,0.3275
3660000,66,325.185,-6963.81,55.0683,0.3071
3670000,58,293.27,-6983.15,58.1239,0.2939
3680000,72,372.617,-6975.61,71.5043,0.3171
3690000,65,316.855,-6965.13,64.1303,0.3047
3700000,56,286.291,-6970.72,50.5181,0.2948
3710000,58,293.999,-6965.88,53.5958,0.2868
3720000,58,300.067,-6958.41,58.1259,0.2981
3730000,50,236.317,-6977.46,45.2556,0.2806
3740000,52,251.753,-6979.98,50.5208,0.2772
3750000,45,210.804,-6974.04,37.3541,0.2662
3760000,49,232.915,-6978.34,49.0627,0.2501
3770000,48,230.258,-6987.48,53.0912,0.2658
3780000,56,272.598,-6978.02,50.9773,0.2876
3790000,62,317.169,-6960.21,62.3761,0.2992
3800000,58,285.876,-6958.61,54.1806,0.2975
3810000,68,342.055,-6976.5,57.6327,0.2867
3820000,60,298.212,-6951.78,79.0953,0.2974
3830000,61,295.953,-6952.35,84.2781,0.2864
3840000,59,290.63,-6951.72,54.3939,0.2892
3850000,58,282.818,-6957.12,58.8917,0.2976
3860000,55,250.19,-6949.73,72.0875,0.2852
3870000,57,274.581,-6944.1,55.5788,0.2646
3880000,55,263.945,-6954.39,44.7943,0.2591
3890000,53,252.696,-6963.3,61.876,0.2574
3900000,51,247.147,-6965.53,45.0863,0.2645
3910000,55,259.41,-6952.47,48.2423,0.2562
3920000,57,273.791,-6958.61,49.0987,0.2715
3930000,61,302.833,-6964.58,60.5553,0.2793
3940000,56,278.171,-6950.6,49.064,0.2709
3950000,63,316.093,-6953.39,59.759,0.2848
3960000,65,319.562,-6957.57,65.4002,0.2963
3970000,56,269.963,-6976.07,64.6569,0.2885
3980000,49,233.463,-6956.91,42.2763,0.2811
3990000,51,248.206,-6975.28,43.5439,0.2651
4000000,47,227.856,-6983.74,45.8091,0.2795
4010000,44,215.171,-6974.03,42.7902,0.2718
4020000,42,202.088,-6968.47,41.5284,0.2812
4030000,50,241.553,-6968.75,41.025,0.25
4040000,44,207.18,-6965.39,42.0595,0.2588
4050000,52,260.15,-6961.6,41.9085,0.2628
4060000,52,259.615,-6957.95,54.5375,0.2698
4070000,62,310.19,-6949.76,51.4139,0.2838
4080000,55,268.712,-6963.66,59.585,0.276
4090000,54,268.408,-6959.97,45.6492,0.2825
4100000,58,289.605,-6962.4,47.344,0.2872
4110000,56,281.379,-6964.91,55.5798,0.2883
4120000,55,259.773,-6969.23,67.1194,0.2788
4130000,57,275.065,-6958.36,59.6187,0.2858
4140000,56,265.279,-6949.39,60.8259,0.2793
4150000,44,207.551,-6971.74,41.7739,0.2771
4160000,45,215.78,-6979.3,36.3683,0.2716
4170000,51,245.701,-6959.78,39.6842,0.2798
4180000,53,256.654,-6955.71,59.382,0.2802
4190000,53,261.621,-6963.24,56.287,0.288
4200000,50,235.728,-6962.77,40.1661,0.2773
4210000,58,280.242,-6962.23,49.4851,0.2922
4220000,58,275.805,-6950.54,51.3326,0.2931
4230000,60,285.957,-6943.41,71.8598,0.2958
4240000,50,224.027,-6967.16,51.9541,0.2869
4250000,52,232.505,-6943.83,60.4275,0.2734
4260000,50,229.59,-6951.46,40.3782,0.2851
4270000,54,256.303,-6949.52,43.2293,0.2891
4280000,47,209.928,-6949,55.2019,0.2789
4290000,51,244.865,-6954.68,43.7237,0.2681
4300000,53,247.563,-6975.64,63.4123,0.2744
