generation,rank_1,rank_2,swapAccepted
1311000,2,6,0
1312000,1,2,0
1313000,3,4,0
1314000,1,3,0
1315000,3,5,0
1316000,1,3,0
1317000,3,5,0
1318000,4,5,1
1319000,4,6,0
1320000,4,5,0
1321000,4,5,0
1322000,3,6,0
1323000,3,4,0
1324000,2,3,0
1325000,2,6,0
1326000,1,4,0
1327000,3,6,0
1328000,3,6,0
1329000,1,2,0
1330000,5,6,1
1331000,2,5,0
1332000,2,5,0
1333000,3,5,0
1334000,4,6,0
1335000,4,6,0
1336000,3,4,0
1337000,1,5,0
1338000,1,2,0
1339000,1,2,0
1340000,2,3,0
1341000,4,5,0
1342000,3,4,0
1343000,4,5,0
1344000,1,6,0
1345000,3,5,0
1346000,1,2,0
1347000,2,3,0
1348000,1,6,0
1349000,3,5,0
1350000,5,6,1
1351000,1,3,0
1352000,1,4,0
1353000,1,3,0
1354000,2,5,0
1355000,3,6,0
1356000,3,6,0
1357000,1,5,0
1358000,2,3,0
1359000,1,6,0
1360000,2,4,0
1361000,5,6,1
1362000,1,4,0
1363000,2,4,0
1364000,3,4,0
1365000,2,4,0
1366000,1,2,0
1367000,1,6,0
1368000,3,6,0
1369000,1,3,0
1370000,2,6,0
1371000,4,5,0
1372000,1,4,0
1373000,1,6,0
1374000,3,5,0
1375000,1,3,0
1376000,3,6,0
1377000,3,5,0
1378000,2,6,0
1379000,4,5,0
1380000,4,6,1
1381000,1,2,0
1382000,1,5,0
1383000,2,6,0
1384000,5,6,1
1385000,3,4,0
1386000,2,4,0
1387000,2,4,0
1388000,5,6,0
1389000,3,5,1
1390000,3,5,1
1391000,1,2,0
1392000,3,4,0
1393000,3,4,0
1394000,3,4,1
1395000,2,3,0
1396000,1,5,0
1397000,3,5,1
1398000,2,5,0
1399000,1,2,0
1400000,4,6,0
1401000,5,6,1
1402000,3,6,1
1403000,1,4,0
1404000,2,4,0
1405000,1,2,0
1406000,1,6,0
1407000,2,5,0
1408000,2,3,0
1409000,3,5,0
1410000,3,6,0
1411000,3,6,0
1412000,3,5,0
1413000,1,5,0
1414000,1,2,0
1415000,4,5,0
1416000,3,5,0
1417000,3,6,0
1418000,2,3,0
1419000,3,5,0
1420000,1,3,0
1421000,1,5,0
1422000,3,4,0
1423000,1,5,0
1424000,3,4,0
1425000,2,6,0
1426000,3,5,0
1427000,3,4,1
1428000,3,4,1
1429000,1,6,0
1430000,1,2,0
1431000,2,3,0
1432000,3,5,0
1433000,1,6,0
1434000,2,6,0
1435000,1,2,0
1436000,3,5,0
1437000,4,5,0
1438000,2,4,0
1439000,1,6,0
1440000,2,3,0
1441000,5,6,1
1442000,1,6,0
1443000,1,4,0
1444000,1,6,0
1445000,1,4,0
1446000,3,5,1
1447000,4,5,0
1448000,3,6,0
1449000,4,5,0
1450000,1,4,0
1451000,1,3,0
1452000,1,4,0
1453000,1,5,0
1454000,2,4,0
1455000,2,3,0
1456000,2,4,0
1457000,4,6,0
1458000,1,5,0
1459000,1,4,0
1460000,2,5,0
1461000,2,5,0
1462000,1,2,0
1463000,2,6,0
1464000,3,4,1
1465000,1,3,0
1466000,3,5,0
1467000,1,5,0
1468000,1,3,0
1469000,4,6,0
1470000,2,4,0
1471000,1,6,0
1472000,1,6,0
1473000,4,5,1
1474000,5,6,0
1475000,4,5,1
1476000,2,6,0
1477000,4,5,1
