generation,rank_1,rank_2,swapAccepted
1110000,2,6,0
1111000,4,6,0
1112000,2,4,0
1113000,1,3,0
1114000,1,4,0
1115000,2,3,0
1116000,2,6,0
1117000,1,6,0
1118000,5,6,1
1119000,2,5,0
1120000,1,2,1
1121000,2,4,0
1122000,1,6,0
1123000,3,4,1
1124000,5,6,0
1125000,4,6,0
1126000,5,6,0
1127000,2,4,1
1128000,1,6,0
1129000,1,3,0
1130000,2,5,0
1131000,1,3,0
1132000,4,6,0
1133000,4,6,0
1134000,2,6,0
1135000,3,5,0
1136000,2,5,0
1137000,2,3,0
1138000,3,4,1
1139000,2,4,0
1140000,2,5,0
1141000,1,3,0
1142000,3,6,0
1143000,2,4,0
1144000,2,6,0
1145000,2,3,1
1146000,1,4,0
1147000,2,5,0
1148000,3,5,0
1149000,1,2,0
1150000,1,6,0
1151000,3,4,0
1152000,5,6,1
1153000,2,6,0
1154000,2,6,0
1155000,1,4,0
1156000,5,6,1
1157000,1,2,0
1158000,1,6,0
1159000,1,2,0
1160000,1,2,1
1161000,5,6,0
1162000,1,4,0
1163000,4,5,1
1164000,2,6,0
1165000,2,5,0
1166000,1,4,0
1167000,2,5,0
1168000,3,6,0
1169000,4,6,0
1170000,2,6,0
1171000,1,2,0
1172000,5,6,0
1173000,2,6,0
1174000,2,6,0
1175000,1,5,0
1176000,2,3,0
1177000,4,6,0
1178000,1,2,0
1179000,3,4,0
1180000,5,6,0
1181000,1,5,0
1182000,1,6,0
1183000,2,4,0
1184000,4,6,0
1185000,1,6,0
1186000,2,4,0
1187000,2,5,0
1188000,2,3,0
1189000,3,5,0
1190000,3,4,0
1191000,3,5,0
1192000,1,2,1
1193000,1,5,0
1194000,5,6,0
1195000,2,4,0
1196000,2,6,0
1197000,2,4,0
1198000,1,4,0
1199000,4,6,0
1200000,2,6,0
1201000,5,6,0
1202000,2,6,0
1203000,1,4,0
1204000,2,3,0
1205000,1,6,0
1206000,2,5,0
1207000,1,3,0
1208000,3,4,1
1209000,3,5,0
1210000,1,3,0
1211000,4,5,1
1212000,1,3,0
1213000,5,6,1
1214000,2,6,0
1215000,4,6,1
1216000,2,3,0
1217000,5,6,1
1218000,1,6,0
1219000,1,6,0
1220000,1,3,0
1221000,5,6,0
1222000,1,5,0
1223000,1,6,0
1224000,1,6,0
1225000,1,6,0
1226000,1,6,0
1227000,4,6,0
1228000,2,5,0
1229000,3,5,1
1230000,4,5,1
1231000,1,4,0
1232000,1,2,0
1233000,3,4,1
1234000,1,2,0
1235000,3,6,0
1236000,1,4,0
1237000,4,6,0
1238000,3,5,0
1239000,1,6,0
1240000,1,3,0
1241000,2,4,0
1242000,5,6,1
1243000,1,2,1
1244000,1,3,0
1245000,2,6,0
1246000,3,5,0
1247000,1,2,0
1248000,4,5,1
1249000,2,5,0
1250000,4,5,1
1251000,1,3,0
1252000,4,6,1
1253000,1,3,0
1254000,2,3,0
1255000,1,6,0
1256000,5,6,1
1257000,2,5,0
1258000,2,4,0
1259000,1,4,0
1260000,1,3,0
1261000,1,4,0
1262000,1,3,0
1263000,4,5,1
1264000,4,5,0
1265000,2,3,1
1266000,2,4,0
1267000,2,6,0
1268000,3,4,0
1269000,2,4,0
1270000,1,5,0
1271000,1,2,0
1272000,5,6,0
1273000,4,5,1
1274000,3,4,1
1275000,2,6,0
1276000,1,6,0
1277000,1,6,0
1278000,4,6,0
1279000,5,6,1
1280000,1,6,0
1281000,4,5,0
1282000,2,3,0
1283000,1,2,0
1284000,4,6,0
1285000,1,5,0
1286000,1,3,0
1287000,2,5,0
1288000,2,4,1
1289000,3,6,0
1290000,3,6,0
1291000,2,4,0
1292000,3,5,0
1293000,2,6,0
1294000,4,5,0
1295000,1,2,0
1296000,3,5,0
1297000,4,5,0
1298000,1,3,0
1299000,1,3,0
1300000,3,4,0
1301000,3,6,0
1302000,3,6,0
1303000,2,3,0
1304000,2,4,0
1305000,2,5,0
1306000,2,3,1
1307000,3,5,0
1308000,2,3,1
1309000,2,4,0
1310000,1,4,0
1311000,1,3,0
1312000,1,5,0
1313000,4,6,1
1314000,4,5,0
1315000,2,4,0
1316000,4,5,0
1317000,2,4,0
1318000,2,6,0
1319000,2,3,1
1320000,3,6,0
1321000,3,6,0
1322000,2,4,0
1323000,3,4,0
1324000,1,4,0
1325000,1,2,0
1326000,3,5,0
1327000,2,4,0
1328000,2,4,0
1329000,1,5,0
1330000,2,6,0
1331000,1,2,0
1332000,1,2,0
1333000,2,4,0
1334000,3,6,0
1335000,3,6,0
1336000,3,4,0
1337000,2,5,0
1338000,1,5,0
1339000,1,5,0
1340000,1,4,0
1341000,2,3,0
1342000,3,4,0
1343000,2,3,0
1344000,5,6,1
1345000,2,4,0
1346000,1,6,0
1347000,1,4,0
1348000,5,6,1
1349000,2,4,0
1350000,2,6,0
1351000,4,5,1
1352000,3,4,0
1353000,4,5,1
1354000,1,6,0
1355000,2,4,0
1356000,2,4,0
1357000,5,6,1
1358000,1,4,0
1359000,2,6,0
1360000,1,3,0
1361000,2,5,0
1362000,3,6,0
1363000,1,3,0
1364000,3,4,0
1365000,1,3,0
1366000,1,6,0
1367000,5,6,1
1368000,4,6,1
1369000,5,6,1
1370000,1,4,0
1371000,2,3,1
1372000,2,6,0
1373000,4,6,0
1374000,3,5,1
1375000,3,6,0
1376000,3,4,1
1377000,4,5,1
1378000,1,3,0
1379000,2,4,0
1380000,2,3,1
1381000,1,6,0
1382000,4,6,0
1383000,1,3,0
1384000,3,4,1
1385000,2,5,0
1386000,1,2,0
1387000,1,2,0
1388000,3,4,1
1389000,3,5,0
1390000,3,5,0
1391000,1,6,0
1392000,2,5,0
1393000,2,5,0
1394000,2,5,0
1395000,1,2,0
1396000,3,6,0
1397000,2,3,1
1398000,1,3,0
1399000,1,6,0
1400000,4,5,0
1401000,3,4,1
1402000,2,4,0
1403000,5,6,1
1404000,1,6,0
1405000,1,5,0
1406000,2,5,0
1407000,1,3,0
1408000,1,4,0
1409000,3,4,1
1410000,2,3,0
1411000,2,3,0
1412000,3,4,1
1413000,3,5,0
1414000,1,5,0
1415000,3,6,0
1416000,3,4,0
1417000,2,4,0
1418000,1,4,0
1419000,3,4,0
1420000,4,5,0
1421000,3,5,0
1422000,4,6,0
1423000,3,5,0
1424000,4,6,0
1425000,1,2,0
1426000,3,4,0
1427000,4,6,0
1428000,4,6,1
1429000,2,5,0
1430000,1,5,0
1431000,1,6,0
1432000,3,6,0
1433000,2,5,0
1434000,1,2,0
1435000,1,5,0
1436000,3,6,0
1437000,3,4,0
1438000,1,4,0
1439000,2,5,0
1440000,1,6,0
1441000,2,3,0
1442000,3,5,0
1443000,4,5,1
1444000,3,4,0
1445000,4,5,1
1446000,2,6,0
1447000,4,6,0
1448000,2,3,0
1449000,4,6,0
1450000,4,5,1
1451000,2,4,0
1452000,4,5,1
1453000,5,6,0
1454000,1,4,0
1455000,1,2,0
1456000,1,4,0
1457000,3,4,0
1458000,5,6,0
1459000,4,5,1
1460000,1,6,0
1461000,1,6,0
1462000,1,4,0
1463000,1,3,0
1464000,2,5,0
1465000,4,5,1
1466000,4,6,1
1467000,4,5,1
1468000,4,6,1
1469000,2,3,0
1470000,1,2,0
1471000,3,6,0
1472000,3,6,0
1473000,2,5,0
1474000,2,3,1
1475000,3,5,0
1476000,1,2,0
1477000,3,5,0
1478000,1,5,0
1479000,3,5,0
1480000,3,4,0
1481000,3,5,0
1482000,4,5,1
1483000,1,2,0
1484000,2,6,0
1485000,3,5,0
1486000,1,6,0
1487000,4,6,0
1488000,3,6,0
1489000,1,6,0
1490000,1,6,0
1491000,1,3,0
