generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2310000,16,55.2273,-5753.34,14.7342,0.2557
2320000,16,46.1259,-5741.71,10.3024,0.254967
2330000,19,70.2925,-5735.75,17.7727,0.2412
2340000,19,63.3328,-5741.75,16.0005,0.2663
2350000,18,61.9546,-5743.04,15.0888,0.2571
2360000,18,64.1558,-5741.54,17.1282,0.2823
2370000,17,53.0691,-5748.49,17.3709,0.277
2380000,16,50.9179,-5748.13,10.9691,0.2689
2390000,13,37.607,-5765.03,11.2982,0.2504
2400000,16,55.5069,-5753.58,15.1584,0.2463
2410000,18,67.4428,-5745.39,15.1098,0.2785
2420000,17,69.9087,-5758.4,14.3576,0.2611
2430000,14,47.4553,-5764.9,17.1392,0.271
2440000,15,60.8999,-5760.22,12.2228,0.2738
2450000,15,50.2241,-5758.06,13.8471,0.2793
2460000,21,94.1094,-5758.63,12.3983,0.2764
2470000,16,68.7938,-5762.52,20.883,0.2883
2480000,16,65.6842,-5763.38,14.776,0.2612
2490000,15,53.6733,-5761.32,15.5755,0.2577
2500000,14,28.4607,-5748.42,13.2102,0.231279
2510000,17,37.6001,-5742.03,10.2255,0.246
2520000,17,54.0747,-5744.34,11.7788,0.258967
2530000,23,85.3731,-5738.47,15.05,0.2819
2540000,22,67.2181,-5729.53,12.4761,0.229033
2550000,22,78.893,-5733.42,18.8742,0.2472
2560000,18,51.0762,-5747.93,16.6251,0.2595
2570000,17,51.9308,-5743.23,20.9846,0.2398
2580000,16,42.8834,-5740.5,17.3383,0.234
2590000,16,47.3378,-5751.3,12.582,0.2317
2600000,17,53.5489,-5742.02,20.2757,0.2493
2610000,17,55.0502,-5760.95,18.5479,0.2625
2620000,16,51.5814,-5749.93,19.4863,0.256933
2630000,17,55.2699,-5760.12,14.184,0.2603
2640000,13,39.0659,-5753.28,8.15445,0.2609
2650000,19,72.7645,-5742.98,13.0618,0.2507
2660000,18,64.1,-5738.72,15.0849,0.2446
2670000,20,65.2811,-5753.23,18.035,0.2779
2680000,23,87.3089,-5739.64,20.5337,0.2765
2690000,18,65.2844,-5750.13,17.8013,0.2638
2700000,22,88.8525,-5739.65,21.6827,0.2653
2710000,21,80.1466,-5728.01,21.444,0.2653
2720000,20,64.3248,-5739.6,21.0949,0.2363
2730000,20,75.1387,-5736.15,24.8965,0.2473
2740000,19,74.4158,-5741.34,17.3381,0.2605
2750000,20,71.5031,-5726.45,17.1991,0.2413
2760000,21,80.7745,-5725.38,16.0251,0.2569
2770000,21,79.0528,-5732.75,19.8071,0.263
2780000,22,84.918,-5734.25,19.26,0.2715
2790000,18,57.3999,-5730.91,17.2464,0.2549
2800000,20,64.4026,-5731.84,19.2725,0.2378
2810000,20,68.8402,-5733.78,23.9251,0.2424
2820000,19,66.7964,-5740.56,21.125,0.2665
2830000,19,71.9889,-5741.1,21.6339,0.2519
2840000,18,64.9201,-5748.34,11.3536,0.2568
2850000,21,89.2133,-5741.36,29.7955,0.2935
2860000,22,81.7329,-5737.49,23.2519,0.2759
2870000,19,66.735,-5745.84,10.9465,0.2618
2880000,19,64.261,-5740.99,15.3785,0.2703
2890000,18,52.9704,-5727.42,25.4216,0.2463
2900000,28,113.752,-5731.47,30.6518,0.2899
2910000,22,75.7975,-5739.44,17.4447,0.2872
2920000,16,49.3186,-5741.79,19.736,0.2689
2930000,16,50.7045,-5745.82,12.7902,0.2417
2940000,19,64.5734,-5734.47,12.5171,0.231594
2950000,21,73.9398,-5737.82,23.2821,0.2756
2960000,19,59.9663,-5729.79,19.0214,0.2749
2970000,16,42.106,-5723,10.6485,0.2383
2980000,17,50.5146,-5725.8,16.9581,0.2563
2990000,16,48.1738,-5729.78,14.6839,0.2546
3000000,18,55.1783,-5727.05,22.5868,0.2694
3010000,17,48.8599,-5722.82,22.0719,0.2472
3020000,19,65.3593,-5737.71,20.64,0.2529
3030000,18,57.4851,-5727.76,16.7654,0.232
3040000,18,64.3815,-5734.02,19.9992,0.2559
3050000,19,70.4835,-5731.15,15.9111,0.2695
3060000,16,46.6828,-5731.48,23.459,0.2547
3070000,14,36.7129,-5735.08,12.3753,0.2437
3080000,16,50.4599,-5730.63,15.4189,0.2573
3090000,15,48.227,-5731.59,14.7817,0.2829
3100000,17,53.0267,-5735.07,18.8907,0.2751
3110000,14,40.9948,-5740.77,9.7063,0.2591
3120000,14,24.818,-5739.36,9.96412,0.243032
3130000,16,31.0355,-5730.96,10.9756,0.2297
3140000,15,42.3509,-5738.73,13.4192,0.255667
3150000,15,43.0667,-5741.92,11.8516,0.2665
3160000,15,37.4758,-5735.65,12.9785,0.2602
3170000,15,42.8828,-5732.85,9.11849,0.2614
3180000,14,38.4298,-5745.15,12.023,0.2284
3190000,16,45.071,-5736.75,13.1067,0.2493
3200000,15,38.4685,-5735.12,9.73842,0.2562
3210000,14,39.6699,-5735.46,12.9159,0.253
3220000,16,43.318,-5734.28,15.9202,0.2493
3230000,15,38.518,-5726.58,11.5658,0.2455
3240000,16,41.6249,-5748.32,14.2587,0.244814
3250000,18,57.6087,-5723.53,15.265,0.2386
3260000,18,52.3241,-5725.69,11.2447,0.2402
3270000,18,51.501,-5733.06,13.4423,0.2444
3280000,16,38.8791,-5723.88,17.4174,0.2332
3290000,16,40.9273,-5729.91,19.2715,0.2491
3300000,19,55.3928,-5723.48,15.2549,0.2355
3310000,21,70.9007,-5730.94,14.9009,0.2655
3320000,17,50.6221,-5730.82,18.766,0.2387
3330000,18,59.6975,-5730.84,17.1532,0.2585
3340000,19,57.1979,-5735.09,25.5513,0.2612
3350000,17,62.0258,-5743.98,16.4915,0.2621
3360000,17,50.8048,-5737.24,10.1101,0.2655
3370000,18,52.7632,-5740,16.2958,0.2612
3380000,18,62.442,-5740.19,15.887,0.2629
3390000,21,81.5907,-5725.43,11.4628,0.2813
3400000,16,50.3369,-5734.57,21.4054,0.2646
3410000,20,73.8216,-5733.06,27.8779,0.2569
3420000,18,61.755,-5735.4,17.3966,0.2635
3430000,19,69.3195,-5735.07,15.8321,0.2833
3440000,16,55.2711,-5735.4,21.5295,0.271
3450000,16,56.7081,-5760.31,15.5691,0.2471
3460000,16,54.1632,-5742.72,11.6845,0.2824
3470000,19,72.8553,-5732.9,25.3051,0.2702
3480000,16,52.7987,-5736.7,16.0569,0.2519
3490000,15,47.286,-5745.74,13.0248,0.2584
3500000,17,48.8523,-5733.04,20.155,0.2496
3510000,18,47.8819,-5734.45,26.105,0.2602
3520000,16,44.9127,-5736.95,16.3731,0.2414
3530000,18,59.0471,-5730.5,12.4209,0.2425
3540000,26,110.567,-5721.07,15.909,0.2657
3550000,26,107.329,-5728.35,21.6769,0.2909
3560000,18,57.7271,-5734.69,17.8532,0.2687
3570000,17,44.0719,-5723.38,15.8433,0.2604
3580000,16,48.993,-5739.6,14.5131,0.244
3590000,18,61.3514,-5734.7,8.91226,0.2641
3600000,16,51.8195,-5739.23,15.483,0.2528
3610000,17,58.5248,-5737.47,12.8397,0.2696
3620000,18,63.7236,-5732.49,11.3388,0.2683
3630000,18,56.3708,-5738.2,17.8523,0.2331
3640000,16,46.1962,-5740.06,19.1089,0.2608
3650000,15,39.6326,-5739.57,16.4348,0.2401
3660000,18,60.8844,-5742.09,11.5843,0.2532
3670000,15,45.9287,-5744.78,15.6784,0.2483
3680000,13,31.2359,-5739.64,9.67156,0.2387
3690000,12,31.7463,-5745.46,10.4993,0.249956
3700000,14,32.168,-5747.68,14.3528,0.22575
3710000,17,52.555,-5733.81,13.5925,0.2397
3720000,14,35.0572,-5731.04,12.1533,0.241
3730000,14,39.1297,-5732.85,12.8195,0.2339
3740000,17,50.5285,-5743.73,21.1793,0.2518
3750000,15,42.8485,-5736.91,17.8359,0.2429
3760000,15,42.7824,-5739.2,15.556,0.2487
3770000,15,45.2401,-5738.26,15.6403,0.2567
3780000,17,64.8888,-5734.41,25.8311,0.2717
3790000,15,52.3602,-5739.24,16.2846,0.2594
3800000,15,49.6318,-5744.28,17.8584,0.2527
3810000,13,37.5856,-5738.58,8.99561,0.2353
3820000,13,36.3244,-5746.06,11.6407,0.2518
3830000,12,30.2053,-5747.06,10.6317,0.2471
3840000,13,40.013,-5752.21,6.5768,0.259
3850000,15,48.8933,-5756.07,12.1418,0.24876
3860000,15,46.9298,-5765.89,16.9203,0.2341
3870000,13,34.9674,-5746.84,9.79096,0.2356
3880000,14,43.2109,-5754.51,15.8237,0.2622
3890000,14,42.8249,-5757.35,18.7203,0.247733
3900000,13,37.7612,-5751.14,11.1198,0.24955
3910000,13,27.0302,-5735.81,12.7857,0.2164
